Browse,Bladeren
Refresh,Vernieuwen
Activate,Activeren
File Name,Bestandsnaam
Content Name,Inhouds naam
Content Type,Inhouds type
Status,Status
Installed Content,Geïnstalleerde inhoud
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Meta maken van geïnstalleerde inhoud
Update Meta,Meta bijwerken
Tools,Gereedschappen
Update QuickGPSFix,Update QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Help
Auto-Extract,Automatisch uitpakken
Download To Device,Downloaden naar apparaat
Download To Folder,Downloaden naar map
Temporary Download Folder:,Tijdelijke Download map
"Map Country/Region (select from list or enter manually, case-sensitive):",Kaart Land/regio (Selecteer in de lijst of handmatig invoeren hoofdlettergevoelig):
Map Version:,Kaartversie:
Map Kind/Generation:,Kaartsoort/generatie:
Map Downloader,Kaart Downloader
Manual Install,Handmatig installeren
Easy/Automatic Install,Eenvoudige/automatische installatie
Special thanks to the Maverick,Speciale dank aan the Maverick
Use Premium Cameras (where possible),Gebruik Premium camera's (indien mogelijk)
Safety Cam Downloader,Flitspalen Downloader
Install Postcodes/Zipcodes,Postcodes/ZIPcodes installeren
Singapore,Singapore
Great Britain,Groot-Brittannië
Netherlands,Nederland
Postcodes,Postcodes
Custom/Unknown Traffic Providers:,Aangepaste/onbekende verkeersinfo aanbieders:
Known Traffic Providers:,Bekende verkeersinfo aanbieders:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - voor Carminat
TX01 (Default) - for most devices,TX01 (Standaard) - voor meeste apparaten
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Naam
Country,Land
Add Custom Provider (Advanced),Aangepaste aanbieder toevoegen (Geavanceerd)
Save As...,Opslaan als...
Enable/Disable All Providers,Inschakelen/uitschakelen van alle providers
Install To Device,Installeren op apparaat
RDS-TMC,RDS-TMC
Source:,Bron:
TTActivator,TTActivator
Change TTActivator Language,Verander taal TTActivator
Paid,Betaald
NAV3 Tools,NAV3 Gereedschappen
Install Patch,Installeer patch
Uninstall Patch,Patch verwijderen
Reboot Device,Herstart apparaat
Upload Meta To Device,Upload Meta naar apparaat
Install TT Package Files,Installeer TT-pakketbestanden
Delete Maps from Internal Memory,Verwijder kaarten uit het interne geheugen
Device Storage Usage,Gebruik van apparaatopslag
Internal Memory:,Intern geheugen:
SD Card:,SD-kaart:
Special thanks to MSTMS team.,Speciale dank aan het MSTMS-team.
Standard (MSTMS):,Standaard (MSTMS):
Truck (MSTMS Truck):,Vrachtauto (MSTMS Truck):
Install Standard Patch,Installeer standaard patch
Install Truck Patch,Truckpatch installeren
Delete Safety Cameras,Flitsers verwijderen
Map Country/Region:,Kaart Land/regio:
OR:,OF:
Provide details about the content you wish to extract a meta code for:,Geef details over de inhoud waarvoor u een metacode wilt extraheren:
Meta/OV2 File Name (case-sensitive):,Meta/OV2-bestandsnaam (hoofdlettergevoelig):
Examples:,Voorbeelden:
Extract Meta Code,Meta-code extraheren
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),Voor navcore 7.8x apparaten en hoger (alleen cspeech/ASR/TTS/vocalizer)
For navcore 7.8x devices and above (none included),Voor navcore 7.8x apparaten en hoger (geen inbegrepen)
For navcore 7.8x devices and above (TTS only),Voor navcore 7.8x apparaten en hoger (alleen TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Voor navcore 8.2x apparaten en hoger (alleen IQroutes/ALG/TTS/vocalizer)
For navcore 9.x devices,Voor navcore 9.x apparaten
For navcore 9.x devices (no ASR),Voor navcore 9.x apparaten (geen ASR)
For truck navcore 9.x devices,Voor truck navcore 9.x apparaten
For NAV3 and navcore 9.x devices,Voor NAV3-en navcore 9.x apparaten
For Mazda NB1 and navcore 9.x devices,Voor Mazda NB1 en navcore 9.x apparaten
For NAV3 and navcore 9.x devices (no ASR),Voor NAV3-en navcore 9.x apparaten (geen ASR)
For Renault R-Link and navcore 9.x devices,Voor Renault R-link en navcore 9.x apparaten
"A new version of TTActivator ({0}) is available, would you like to update now?","Er is een nieuwe versie van TTActivator ({0}) beschikbaar, wilt u nu bijwerken?"
"An error occurred while downloading the update:
{0}","Er is een fout opgetreden tijdens het downloaden van de update:
{0}"
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.","TTActivator heeft de nieuwste versie gedownload naar:
{0}

Sluit TTActivator en extraheer/Vervang de oude versie."
"QuickGPSFix Expiry: ","QuickGPSFix-vervaldatum: "
GPS Chipset,GPS Chipset
Activated,Geactiveerd
Not Activated,Niet geactiveerd
Missing Meta/Blowfish,Ontbrekende meta/blowfish
No Activation Needed,Geen activatie nodig
Please wait...,Een ogenblik geduld…
QuickGPSFix files updated successfully!,QuickGPSFix-bestanden zijn succesvol bijgewerkt!
"An error occurred while downloading or installing the QuickGPSFix files.

{0}","Er is een fout opgetreden tijdens het downloaden of installeren van de QuickGPSFix-bestanden.

{0}"
Update QuickGPSFix,QuickGPSFix bijwerken
The meta code specified for this content {0}is not correct.,De metacode die is opgegeven voor deze inhoud {0}is niet correct.
"An error occurred while activating '{0}':

{1}","Er is een fout opgetreden bij het activeren van {0}:

{1}"
{0} item(s) activated successfully!,{0} item(s) zijn succesvol geactiveerd!
Navcore has been patched successfully!,NavCore is met succes gepatched!
"Navcore patch failed, it might already be patched!","NavCore-patch is mislukt, het zou al gepatched kunnen zijn!"
"An error occurred during patching:

{0}","Er is een fout opgetreden tijdens het patchen:

{0}"
Meta has been updated successfully!,Meta is succesvol bijgewerkt!
An unknown error occurred while updating meta.,Er is een onbekende fout opgetreden tijdens het bijwerken van meta.
"An error occurred while downloading the selected map.

{0}","Er is een fout opgetreden bij het downloaden van de geselecteerde kaart.

{0}"
"

Also, remember to go to 'Installed Content' and activate the new map.","

Vergeet niet om naar ' geïnstalleerde inhoud ' te gaan en de nieuwe kaart te activeren."
"Obtaining links for selected map, please wait...","Het verkrijgen van links voor geselecteerde kaart, een ogenblik geduld..."
An error occurred while downloading the selected map. Ensure you are connected to the internet and that the map configuration you have chosen is valid.,Er is een fout opgetreden bij het downloaden van de geselecteerde kaart. Zorg ervoor dat u verbonden bent met het internet en dat de gekozen kaart configuratie geldig is.
{0} v{1} ({2}) requires {3} of space. {4}. Do you wish to continue?,{0} v {1} ({2}) vereist {3} aan ruimte. {4}. Wilt u doorgaan?
"Also, this map currently does not have a meta code available and cannot be activated in TTActivator",Ook heeft deze kaart momenteel geen metacode beschikbaar en kan deze niet worden geactiveerd in TTActivator
"If you intend to activate this map, make sure a meta code for it exists","Als u van plan bent deze kaart te activeren, moet u ervoor zorgen dat er een metacode bestaat"
"Also, good news, TTActivator is able to activate this map","Ook, goed nieuws, TTActivator is in staat om deze kaart te activeren"
"Map has been successfully downloaded:

","Kaart is succesvol gedownload:

"
Map has been successfully downloaded: {0}{1},De kaart is succesvol opgehaald: {0}{1}
"Extracting, please wait...","Uitpakken, even wachten a.u.b."
Downloading,Downloaden
"TTActivator was unable to recognise the following maps, they may require manual installation of safety cameras:
 - {0}","TTActivator kon de volgende kaarten niet herkennen, ze kunnen handmatige installatie van veiligheidscamera's vereisen:
 -{0}"
An error occurred while downloading the safety cameras: {0},Er is een fout opgetreden bij het ophalen van de flitsers: {0}
All safety cameras have been successfully installed and activated.,Alle flitsers zijn met succes geïnstalleerd en geactiveerd.
"Safety cameras have been downloaded, please manually extract the files to the matching map folders and activate using TTActivator.

","Veiligheidscamera's zijn opgehaald, u moet de bestanden zelf handmatig uitpakken naar de overeenkomende kaart mappen en activeren met TTActivator.

"
Select the folder for the TT device:,Selecteer de map voor het TT-apparaat:
Are you sure you want to disable auto-extract? This means that downloaded maps will stay as a *.zip or *.ttpkg file.,"Weet u zeker dat u automatisch uitpakken wilt uitschakelen? Dit betekent dat opgehaalde kaarten een *. zip-of *. ttpkg-bestand blijven.
"
An error occurred while downloading the zipcodes. Ensure you are connected to the internet and that the map version entered is valid.,Er is een fout opgetreden bij het ophalen van de ZIPcodes. Zorg ervoor dat u verbonden bent met internet en dat de ingevoerde kaartversie geldig is.
Postcode files have been installed successfully!,Postcode bestanden zijn met succes geïnstalleerd!
An error occurred while downloading or installing the postcode files.,Er is een fout opgetreden tijdens het ophalen of installeren van de postcode bestanden.
RDS-TMC configuration installed successfully!,RDS-TMC-configuratie met succes geïnstalleerd!
An error occurred while saving the RDS-TMC configuration.,Er is een fout opgetreden bij het opslaan van de RDS-TMC-configuratie.
RDS-TMC configuration saved successfully!,RDS-TMC-configuratie is succesvol opgeslagen!
{0} item(s) available for activation.,{0} item (s) beschikbaar voor activering.
Can't be activated because blowfish/meta is code missing.,Kan niet worden geactiveerd omdat blowfish/metacode ontbreekt.
Equivalent Meta Available,Equivalente meta beschikbaar
Unable to obtain the latest QuickGPSFix files from the TomTom server.,Kan de nieuwste QuickGPSFix-bestanden niet ophalen van de TomTom-server.
QuickGPSFix files have installed successfully!,QuickGPSFix-bestanden zijn succesvol geïnstalleerd!
Select a folder to download the safety cameras to:,Selecteer een map om de flitsers naar op te bergen:
All safety cameras have been successfully downloaded.,Alle flitspalen zijn succesvol opgehaald.
Your device has an unsupported navcore version. You must have one of the following versions installed:,Uw apparaat heeft een niet-ondersteunde navcore versie. U moet een van de volgende versies hebben geïnstalleerd:
"Connecting to device, please wait...","Apparaat verbinden, een moment geduld..."
Could not establish a connection to the device. Make sure that it is connected to your PC.,Kan geen verbinding maken met het apparaat. Zorg ervoor dat het is aangesloten op uw pc.
The following processes are connected to the device. Please close them before continuing:,De volgende processen zijn verbonden met het apparaat. Sluit ze voordat u verdergaat:
"Triggering device, please wait...","Apparaat activeren, even geduld..."
The device did not respond to the trigger in a timely manner. Please check your device connection.,Het apparaat reageerde niet tijdig. Controleer uw apparaatverbinding.
"Job list has been uploaded to the device, waiting for files to be requested...","Takenlijst is is geplaats op het apparaat, nu wachten op het opvragen van bestanden..."
<Unknown>,<Onbekend>
Uploading:,Uploaden:
Installing:,Installeren:
"Jobs have completed, waiting for device to finish everything...","Banen zijn voltooid, wachtend tot het apparaat alles heeft voltooid..."
"Validating packages, please wait...","Pakketten valideren, even geduld..."
The following packages appear to be corrupted and are likely to fail during installation. Do you want to continue anyway? (not recommended),De volgende pakketten lijken beschadigd te zijn en mislukken waarschijnlijk tijdens de installatie. Wil je toch doorgaan? (niet aangeraden)
"The following packages appear to be incomplete. If multiple parts exist, please make sure to select all of them together at the same time. Do you want to continue anyway? (not recommended)","De volgende pakketten lijken onvolledig te zijn. Als er meerdere onderdelen zijn, zorg er dan voor dat u ze allemaal tegelijk selecteert. Wil je toch doorgaan? (niet aangeraden)"
There is not enough space present on the device to install the specified content.,Er is onvoldoende ruimte op het apparaat aanwezig om de opgegeven inhoud te installeren.
The following packages caused an error:,De volgende pakketten hebben een fout veroorzaakt:
Message:,Bericht:
The device reports that only {0} of free space is available.,Het apparaat meldt dat er slechts {0} vrije ruimte beschikbaar is.
An unexpected error occurred while preparing the package files.,Er is een onverwachte fout opgetreden bij het voorbereiden van de pakketbestanden.
Please make sure the files are not in use by another program.,Zorg ervoor dat de bestanden niet worden gebruikt door een ander programma.
Please make sure that your internet connection is working properly.,Zorg ervoor dat uw internetverbinding correct werkt.
The patch has been installed successfully.,De patch is met succes geïnstalleerd.
The patch has been removed from the device.,De patch is van het apparaat verwijderd.
The maps have been removed from the device's internal memory.,De kaarten zijn verwijderd uit het interne geheugen van het apparaat.
The map kind/generation you have selected is not compatible with this device.,De geselecteerde kaartsoort / generatie is niet compatibel met dit apparaat.
The map has been successfully installed to the device.,De kaart is met succes op het apparaat geïnstalleerd.
The temporary files for this map are still present on the machine. Do you want to keep them to attempt re-installation later?,De tijdelijke bestanden voor deze kaart zijn nog steeds aanwezig op de pc. Wilt u dat ze later opnieuw worden geïnstalleerd?
This will delete all maps stored in your device's internal memory along with the navcore patch. You will need to reapply the patch again afterwards. Are you sure you wish to continue?,"Hiermee worden alle kaarten die in het interne geheugen van uw apparaat zijn opgeslagen, samen met de navcore-patch verwijderd. U moet de pleister daarna opnieuw aanbrengen. Weet je zeker dat je wilt doorgaan?"
All safety cameras have been successfully installed.,Alle flitspalen zijn succesvol geïnstalleerd.
Remember to upload the latest meta and then reboot your device from the 'NAV3 Tools' menu to automatically activate the map.,Vergeet niet om de nieuwste meta te uploaden en vervolgens uw apparaat opnieuw op te starten vanuit het menu 'NAV3 gereedschappen' om de kaart automatisch te activeren.
Meta has been uploaded successfully to the device.,Meta is succesvol geüpload naar het apparaat.
The standard patch activates content each time the device is rebooted using a built-in keygen. All that is required is an up-to-date meta file to be uploaded to the device.,"De standaardpatch activeert inhoud telkens wanneer het apparaat opnieuw wordt opgestart met een ingebouwde keygen. Het enige dat nodig is, is een up-to-date metabestand dat naar het apparaat moet worden geüpload."
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.","De truckpatch is hetzelfde als de standaardpatch, maar het ontgrendelt ook zware voertuigtypen zoals een vrachtwagen of bus wanneer een TRUCK-kaart wordt gebruikt."
TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,TTActivator kon de lokale server niet starten. Accepteer de prompt 'Gebruikersaccountbeheer' of voer TTActivator uit als beheerder.
RDS-TMC Configuration,RDS-TMC-configuratie
Expired,Verlopen
No safety cameras could be found from the TT server.,Er zijn geen flitsers gevonden op de TT-server.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,Hiermee worden alle flitsers (inclusief licenties) uit het interne geheugen van je apparaat verwijderd. Wilt u doorgaan?
The safety cameras have been removed from the device's internal memory.,De flitsers zijn verwijderd uit het interne geheugen van het apparaat..
For NAV3 and navcore 9.x devices (no cspeech),Voor NAV3-en navcore 9.x apparaten (geen cspeech)
The device is currently busy. Please try again in a few moments.,Het apparaat is momenteel bezet. Probeer het over enkele ogenblikken opnieuw.
TTActivator was unable to find a meta code on the device that matched the details you provided.,TTActivator kon op het apparaat geen metacode vinden die overeenkwam met de door jou opgegeven gegevens.
