Browse,Przeglądaj
Refresh,Odśwież
Activate,Aktywuj
File Name,Nazwa Pliku
Content Name,Nazwa zawartości
Content Type,Typ zawartości
Status,Status
Installed Content,Zainstalowana Zawartość
Patch Navcore (PNDNavigator/ttsystem),Patch Navcore (PNDNavigator/ttsystem)
Create Meta from Installed Content,Stwórz meta z zainstalowanej zawartości
Update Meta,Zaktualizuj Meta
Tools,Narzędzia
Update QuickGPSFix,Zaktualizuj QuickGPSFix
GPS Chipset:,GPS Chipset:
QuickGPSFix,QuickGPSFix
Help,Pomoc
Auto-Extract,Auto-wypakowanie
Download To Device,Pobierz na Urządzenie
Download To Folder,Pobierz do Folderu
Temporary Download Folder:,Folder tymczasowy dla pobieranych plików:
"Map Country/Region (select from list or enter manually, case-sensitive):","Kraj/Region Mapy (wybierz z listy lub wprowadź ręcznie, wielkość liter ma znaczenie):"
Map Version:,Wersja Mapy:
Map Kind/Generation:,Rodzaj/Generacja Mapy:
Map Downloader,Narzędzie do pobierania Map
Manual Install,Ręczna instalacja
Easy/Automatic Install,Łatwa/Automatyczna Instalacja
Special thanks to the Maverick,Specjalne podziękowania dla Maverick
Use Premium Cameras (where possible),Użyj Fotoradarów Premium (jeżeli możliwe)
Safety Cam Downloader,Narzędzie do pobierania Radarów
Install Postcodes/Zipcodes,Zainstaluj kody pocztowe
Singapore,Singapur
Great Britain,Wielka Brytania
Netherlands,Holandia
Postcodes,Kody pocztowe
Custom/Unknown Traffic Providers:,Niestandarodowy/Nieznany Dostawca Ruchu Drogowego:
Known Traffic Providers:,Znani Dostawcy Ruchu Drogowego:
TX02 (Marigot) - for Carminat,TX02 (Marigot) - dla Carminat
TX01 (Default) - for most devices,TX01 (Default) - dla więkoszości urządzeń
CC,CC
LTN,LTN
SID,SID
ETI,ETI
ETO,ETO
Name,Nazwa
Country,Państwo
Add Custom Provider (Advanced),Dodaj Niestandardowego Dostawce (Zaawansowane)
Save As...,Zapisz jako...
Enable/Disable All Providers,Włącz/Wyłącz Wszystkich Dostawców
Install To Device,Zainstaluj w urządzeniu
RDS-TMC,RDS-TMC
Source:,Źródło:
TTActivator,TTActivator
Change TTActivator Language,Zmień język TTActivatora
Paid,Płatny
NAV3 Tools,Narzędzia NAV3
Install Patch,Zainstalować patcha
Uninstall Patch,Odinstaluj patcha
Reboot Device,Restartuj urządzenie
Upload Meta To Device,Prześlij do urządzenia Meta
Install TT Package Files,Zainstaluj plik *.ttpkg
Delete Maps from Internal Memory,Usuń mapy z pamięci wewnętrznej
Device Storage Usage,Wykorzystanie urządzenia do przechowywania
Internal Memory:,Pamięć wewnętrzna:
SD Card:,Karta SD:
Special thanks to MSTMS team.,Specjalne podziękowania dla zespołu MSTMS.
Standard (MSTMS):,Standard (MSTMS):
Truck (MSTMS Truck):,Samochód ciężarowy (MSTMS Truck):
Install Standard Patch,Zainstalować standardowy patcha
Install Truck Patch,Zainstaluj patcha ciężarówki
Delete Safety Cameras,Usuń fotoradary
Map Country/Region:,Kraj/Region Mapy:
OR:,Lub:
Provide details about the content you wish to extract a meta code for:,"Podaj szczegółowe informacje o treści, dla której chcesz wyodrębnić meta kod:"
Meta/OV2 File Name (case-sensitive):,Nazwa pliku Meta/OV2 (wielkość liter ma znaczenie):
Examples:,Przykłady:
Extract Meta Code,Wyodrębnij kod meta
For navcore 7.8x devices and above (cspeech/ASR/TTS/vocalizer only),Dla urządzeń z navcore 7.8x i wyższym (tylko cspeech/ASR/TTS/vocalizer)
For navcore 7.8x devices and above (none included),Dla urządzeń z navcore 7.8x i wyższym (nic nie zawiera)
For navcore 7.8x devices and above (TTS only),Dla urządzeń z navcore 7.8x i wyższym (tylko TTS)
For navcore 8.2x devices and above (IQroutes/ALG/TTS/vocalizer only),Dla urządzeń z navcore 8.2x i wyższym (tylko IQroutes/ALG/TTS/vocalizer)
For navcore 9.x devices,Dla urządzeń z navcore 9.x
For navcore 9.x devices (no ASR),Dla urządzeń z navcore 9.x (brak ASR)
For truck navcore 9.x devices,Dla urządzeń Truck z navcore 9.x
For NAV3 and navcore 9.x devices,Dla urządzeń NAV3 oraz z navcore 9.x
For Mazda NB1 and navcore 9.x devices,Dla urządzeń Mazda NB1 oraz z navcore 9.x
For NAV3 and navcore 9.x devices (no ASR),Dla urządzeń NAV3 oraz z navcore 9.x (brak ASR)
For Renault R-Link and navcore 9.x devices,Dla urządzeń Renault R-Link oraz z navcore 9.x
"A new version of TTActivator ({0}) is available, would you like to update now?","Nowa wersja TTActivator ({0}) jest dostępna, zaktualizować teraz?"
"An error occurred while downloading the update:
{0}","Wystąpił błąd podczas pobierania tej aktualizacji:
{0}"
"TTActivator has downloaded the latest version to:
{0}

Please close TTActivator and then extract/replace the old version.","TTActivator pobrał najnowszą wersję do:
{0}

Zamknij TTActivator a nastepnie wypakuj/zastąp starą wersję."
"QuickGPSFix Expiry: ","QuickGPSFix wygaśnięcie: "
GPS Chipset,GPS Chipset
Activated,Aktywowano
Not Activated,Nie aktywowano
Missing Meta/Blowfish,Brak kodu Meta
No Activation Needed,Aktywacja nie jest wymagana
Please wait...,Proszę czekać...
QuickGPSFix files updated successfully!,QuickGPSFix zaktualizowany pomyślnie!
"An error occurred while downloading or installing the QuickGPSFix files.

{0}","Wystąpił błąd podczas pobierania lub instalacji QuickGPSFix.

{0}"
Update QuickGPSFix,Zaktualizuj QuickGPSFix
The meta code specified for this content {0}is not correct.,Kod meta dla danej zawartości {0}nie jest poprawny.
"An error occurred while activating '{0}':

{1}","Wystapił błąd podczas aktywacji '{0}':

{1}"
{0} item(s) activated successfully!,{0} rzeczy aktywowano pomyślnie!
Navcore has been patched successfully!,Navcore zostało pomyślnie spatchowane!
"Navcore patch failed, it might already be patched!","Błąd podczas patchowania navcore, możliwe że już jest spatchowane!"
"An error occurred during patching:

{0}","Wystąpił błąd podczas patchowania:

{0}"
Meta has been updated successfully!,Meta.txt został pomyślnie zaktualizowany!
An unknown error occurred while updating meta.,Nieznany błąd wystąpił podczas aktualizacji Meta.txt.
"An error occurred while downloading the selected map.

{0}","Wystąpił błąd podczas pobierania wybranej mapy.

{0}"
"

Also, remember to go to 'Installed Content' and activate the new map.","

Nie zapomnij przejść do 'Zainstalowana Zawartość' i aktywować nową mapę."
"Obtaining links for selected map, please wait...","Uzyskiwanie linków dla wybranych map, proszę czekać..."
An error occurred while downloading the selected map. Ensure you are connected to the internet and that the map configuration you have chosen is valid.,Wystąpił błąd podczas pobierania wybranej mapy. Upewnij się że masz połączenie z internetem oraz że wybrana konfiguracja mapy jest prawidłowa.
{0} v{1} ({2}) requires {3} of space. {4}. Do you wish to continue?,{0} v{1} ({2}) wymaga {3} miejsca. {4}. Kontynuować?
"Also, this map currently does not have a meta code available and cannot be activated in TTActivator",Ta mapa aktualnie nie posiada kodu Meta i nie może zostać aktywowana w TTActivator
"If you intend to activate this map, make sure a meta code for it exists","Jeżeli zamierzasz aktywowac tę mapę, upewnij się że kod meta dla niej istnieje"
"Also, good news, TTActivator is able to activate this map","Dobre wieści, TTActivator może aktywować tę mapę"
"Map has been successfully downloaded:

","Mapa została pomyślnie pobrana:

"
Map has been successfully downloaded: {0}{1},Mapa została pomyślnie pobrana: {0}{1}
"Extracting, please wait...","Wypakowywanie, proszę czekać..."
Downloading,Pobieranie
"TTActivator was unable to recognise the following maps, they may require manual installation of safety cameras:
 - {0}","TTActivator nie był w stanie rozpoznać następujących map, mogą one wymagać ręcznej instalacji radarów:
 - {0}"
An error occurred while downloading the safety cameras: {0},Wystąpił błąd podczas pobierania radarów: {0}
All safety cameras have been successfully installed and activated.,Wszystkie radary zostały pomyślnie zainstalowane i aktywowane.
"Safety cameras have been downloaded, please manually extract the files to the matching map folders and activate using TTActivator.

","Radary pobrane pomyślnie, proszę ręcznie wypakować pliki do pasujących folderów z mapą oraz aktywuj przy pomocy TTActivator.

"
Select the folder for the TT device:,Wybierz folder dla urządzenia TomTom:
Are you sure you want to disable auto-extract? This means that downloaded maps will stay as a *.zip or *.ttpkg file.,Jesteś pewny że chcesz wyłączyć automatyczne wypakowywanie? Oznacza to że pliki zostaną w formie *.zip lub *.ttpkg.
An error occurred while downloading the zipcodes. Ensure you are connected to the internet and that the map version entered is valid.,Wystapił błąd podczas pobierania kodów pocztowych. Upewnij się że masz połączenie z internetem oraz czy wprowadzona wersja mapy jest poprawna.
Postcode files have been installed successfully!,Kody pocztowe zostały zainstalowane pomyślnie!
An error occurred while downloading or installing the postcode files.,Wystąpił błąd podczas pobierania lub instalacji kodów pocztowych.
RDS-TMC configuration installed successfully!,Konfiguracja RDS-TMC zainstalowana pomyślnie!
An error occurred while saving the RDS-TMC configuration.,Wystąpił błąd przy zapisywaniu konfiguracji RDS-TMC.
RDS-TMC configuration saved successfully!,Konfiguracja RDS-TMC zapisana pomyślnie!
{0} item(s) available for activation.,{0} rzeczy które można aktywować.
Can't be activated because blowfish/meta is code missing.,Nie można aktywować z powodu braku kodu Meta.
Equivalent Meta Available,Dostępny odpowiednik meta
Unable to obtain the latest QuickGPSFix files from the TomTom server.,Nie można uzyskać najnowszych plików QuickGPSFix z serwera TomTom.
QuickGPSFix files have installed successfully!,Pliki QuickGPSfix zainstalowano pomyślnie!
Select a folder to download the safety cameras to:,Wybierz folder do pobrania fotoradarów:
All safety cameras have been successfully downloaded.,Wszystkie fotoradary zostały pomyślnie pobrane.
Your device has an unsupported navcore version. You must have one of the following versions installed:,Urządzenie to ma nieobsługiwany wersji Navcore. Musisz mieć jedną z następujących wersji zainstalowanych:
"Connecting to device, please wait...","Podłączanie do urządzenia, proszę czekać..."
Could not establish a connection to the device. Make sure that it is connected to your PC.,"Nie udało się nawiązać połączenia z urządzeniem. Upewnij się, że jest on podłączony do komputera."
The following processes are connected to the device. Please close them before continuing:,Poniższe sposoby są podłączone do urządzenia. Proszę zamknąć je przed kontynuowaniem:
"Triggering device, please wait...","Uurządzenie wyzwalające, proszę czekać..."
The device did not respond to the trigger in a timely manner. Please check your device connection.,Urządzenie nie zareagowało w odpowiednim czasie. Sprawdź połączenie urządzenia.
"Job list has been uploaded to the device, waiting for files to be requested...","Lista zadań został przesłany do urządzenia, czekając na pliki, prosić..."
<Unknown>,<Nieznany>
Uploading:,Przekazywanie:
Installing:,Instalacja:
"Jobs have completed, waiting for device to finish everything...","Praca zakończyły, czekając na urządzeniu, aby zakończyć wszystko..."
"Validating packages, please wait...","Sprawdzanie poprawności pakietów, proszę czekać..."
The following packages appear to be corrupted and are likely to fail during installation. Do you want to continue anyway? (not recommended),Następujące pakiety wydają się być uszkodzone i są podatne na uszkodzenia podczas montażu. Czy mimo to chcesz kontynuować? (Niepolecane)
"The following packages appear to be incomplete. If multiple parts exist, please make sure to select all of them together at the same time. Do you want to continue anyway? (not recommended)","Następujące pakiety wydają się być niekompletny. Jeśli istnieje wiele części, upewnij się, aby wybrać je wszystkie razem w tym samym czasie. Czy mimo to chcesz kontynuować? (Niepolecane)"
There is not enough space present on the device to install the specified content.,"Nie ma wystarczająco dużo miejsca, obecny na urządzeniu do zainstalowania określonej treści."
The following packages caused an error:,Następujące pakiety spowodował błąd:
Message:,Wiadomość:
The device reports that only {0} of free space is available.,"Raporty urządzenie, które tylko {0} wolnego miejsca."
An unexpected error occurred while preparing the package files.,Wystąpił nieoczekiwany błąd podczas przygotowywania pakiety.
Please make sure the files are not in use by another program.,"Należy upewnić się, że pliki nie są używane przez inny program."
Please make sure that your internet connection is working properly.,"Należy upewnić się, że połączenie internetowe działa prawidłowo."
The patch has been installed successfully.,Plaster został zainstalowany pomyślnie.
The patch has been removed from the device.,Plaster jest usuwany z urządzenia.
The maps have been removed from the device's internal memory.,Z mapy z pamięci wewnętrznej urządzenia zostały usunięte.
The map kind/generation you have selected is not compatible with this device.,Mapa rodzaj/generacja wybrałeś nie jest kompatybilne z tym urządzeniem.
The map has been successfully installed to the device.,Mapa została pomyślnie zainstalowana w urządzeniu.
The temporary files for this map are still present on the machine. Do you want to keep them to attempt re-installation later?,Pliki tymczasowe na tej mapie są nadal obecne na komputerze. Czy chcesz je zachować próba reinstalacji później?
This will delete all maps stored in your device's internal memory along with the navcore patch. You will need to reapply the patch again afterwards. Are you sure you wish to continue?,Spowoduje to usunięcie wszystkich map przechowywanych w pamięci wewnętrznej urządzenia wraz z patchem Navcore. Trzeba będzie ponownie ponownie zastosować poprawkę później. Czy na pewno chcesz kontynuować?
All safety cameras have been successfully installed.,Wszystkie fotoradary zostały pomyślnie zainstalowane.
Remember to upload the latest meta and then reboot your device from the 'NAV3 Tools' menu to automatically activate the map.,"Pamiętaj, aby wgrać najnowszy meta, a następnie ponownie uruchomić urządzenie z menu 'Narzędzia NAV3' automatycznie aktywować mapę."
Meta has been uploaded successfully to the device.,Meta został pomyślnie przesłany do urządzenia.
The standard patch activates content each time the device is rebooted using a built-in keygen. All that is required is an up-to-date meta file to be uploaded to the device.,Średnia plaster aktywuje zawartość każdym ponownym uruchomieniu urządzenia za pomocą wbudowanego keygen. Wszystko co jest potrzebne to plik up-to-date meta być przesłane do urządzenia.
"The truck patch is the same as the standard patch, but it will also unlock heavy vehicle types such as truck or bus when using a TRUCK map.","Plaster ciężarówka jest taka sama jak w standardowej poprawki, ale również odblokować typów pojazdów ciężkich, takich jak ciężarówki lub autobusu przy użyciu mapy TRUCK."
TTActivator could not start the local server. Please accept the 'User Account Control' prompt or run TTActivator as an administrator.,TTActivator nie mógł uruchomić lokalnego serwera. Zaakceptuj okno dialogowe „Kontrola konta użytkownika” lub uruchom TTActivator jako administrator.
RDS-TMC Configuration,Konfiguracja RDS-TMC
Expired,Przedawniony
No safety cameras could be found from the TT server.,Nie znaleziono fotoradarów z serwera TT.
This will delete all safety cameras (including licenses) from your device's internal memory. Do you wish to continue?,Spowoduje to usunięcie wszystkich fotoradarów (w tym licencji) z pamięci wewnętrznej urządzenia. Czy chcesz kontynuować?
The safety cameras have been removed from the device's internal memory.,Fotoradary zostały usunięte z wewnętrznej pamięci urządzenia.
For NAV3 and navcore 9.x devices (no cspeech),Dla urządzeń NAV3 oraz z navcore 9.x (brak cspeech)
The device is currently busy. Please try again in a few moments.,Urządzenie jest obecnie zajęte. Spróbuj ponownie za chwilę.
TTActivator was unable to find a meta code on the device that matched the details you provided.,"TTActivator nie mógł znaleźć meta kodu na urządzeniu, który pasowałby do podanych przez Ciebie szczegółów."
Could not detect the navcore version from the device because it is in rescue mode. Please reboot your device and try again.,"Nie można wykryć wersji navcore z urządzenia, ponieważ jest ono w trybie ratunkowym. Uruchom ponownie urządzenie i spróbuj ponownie."
It is not possible to install more than 1 package file when the device is in rescue mode.,"Nie można zainstalować więcej niż 1 pliku pakietu, gdy urządzenie znajduje się w trybie ratunkowym."
Could not detect the navcore version from the device. Please click 'Refresh' and try again.,Nie można wykryć wersji navcore z urządzenia. Kliknij „Odśwież” i spróbuj ponownie.
